iter	Passed	Remaining
0	2	2258
1	4	2202
2	6	2183
3	8	2224
4	11	2263
5	13	2215
6	15	2223
7	18	2295
8	21	2378
9	24	2445
10	27	2466
11	30	2475
12	33	2548
13	36	2589
14	39	2612
15	42	2615
16	44	2598
17	47	2584
18	49	2578
19	52	2568
20	56	2624
21	58	2619
22	61	2612
23	63	2595
24	66	2579
25	69	2588
26	71	2589
27	74	2589
28	77	2589
29	79	2581
30	82	2579
31	85	2596
32	88	2605
33	91	2601
34	93	2583
35	95	2562
36	97	2543
37	99	2524
38	102	2520
39	104	2512
40	106	2500
41	110	2522
42	112	2507
43	114	2494
44	117	2494
45	119	2487
46	122	2485
47	125	2480
48	127	2477
49	129	2467
50	132	2468
51	135	2474
52	137	2458
53	140	2456
54	142	2451
55	144	2442
56	146	2428
57	149	2430
58	152	2434
59	155	2443
60	158	2447
61	162	2460
62	165	2464
63	168	2468
64	171	2467
65	173	2453
66	175	2440
67	177	2428
68	179	2416
69	181	2408
70	183	2407
71	185	2396
72	187	2385
73	190	2383
74	193	2382
75	196	2384
76	199	2386
77	201	2381
78	203	2376
79	206	2370
80	208	2364
81	210	2359
82	213	2360
83	215	2352
84	217	2345
85	220	2341
86	222	2332
87	224	2322
88	225	2313
89	228	2310
90	231	2310
91	233	2302
92	235	2294
93	237	2285
94	239	2277
95	241	2269
96	243	2265
97	246	2265
98	248	2257
99	250	2250
100	251	2242
101	254	2237
102	256	2231
103	258	2227
104	260	2221
105	263	2219
106	265	2211
107	266	2204
108	269	2198
109	270	2187
110	272	2182
111	274	2180
112	277	2181
113	280	2181
114	283	2179
115	285	2173
116	287	2168
117	289	2164
118	292	2163
119	294	2159
120	296	2152
121	298	2146
122	300	2139
123	301	2132
124	303	2126
125	305	2120
126	307	2116
127	310	2112
128	312	2106
129	313	2101
130	315	2094
131	317	2089
132	319	2085
133	322	2082
134	324	2080
135	326	2077
136	328	2071
137	330	2065
138	332	2060
139	334	2055
140	336	2051
141	339	2052
142	342	2051
143	344	2049
144	346	2045
145	349	2041
146	351	2038
147	353	2034
148	356	2034
149	358	2028
150	360	2024
151	362	2021
152	364	2016
153	366	2012
154	368	2010
155	372	2013
156	374	2011
157	376	2007
158	378	2003
159	380	1998
160	383	1996
161	385	1995
162	387	1992
163	391	1994
164	394	1993
165	397	1994
166	399	1992
167	402	1991
168	405	1992
169	407	1988
170	409	1983
171	411	1979
172	413	1975
173	415	1970
174	417	1968
175	420	1967
176	422	1963
177	424	1961
178	427	1959
179	429	1955
180	431	1950
181	433	1948
182	436	1946
183	438	1944
184	440	1939
185	442	1935
186	444	1932
187	446	1929
188	449	1929
189	452	1928
190	454	1924
191	456	1919
192	457	1914
193	459	1909
194	461	1906
195	463	1902
196	466	1900
197	468	1897
198	470	1894
199	472	1889
200	474	1886
201	476	1881
202	478	1877
203	480	1873
204	482	1871
205	484	1868
206	486	1864
207	488	1860
208	490	1857
209	492	1854
210	494	1850
211	497	1847
212	499	1844
213	501	1840
214	502	1836
215	504	1832
216	506	1828
217	508	1824
218	510	1819
219	512	1817
220	515	1816
221	517	1812
222	519	1809
223	521	1806
224	523	1803
225	525	1799
226	527	1796
227	530	1795
228	532	1791
229	534	1788
230	536	1784
231	537	1780
232	539	1776
233	541	1773
234	543	1769
235	545	1767
236	548	1764
237	550	1762
238	552	1760
239	555	1757
240	557	1755
241	559	1752
242	562	1751
243	564	1748
244	566	1745
245	568	1741
246	570	1738
247	572	1735
248	575	1735
249	578	1735
250	581	1733
251	583	1732
252	585	1729
253	589	1731
254	593	1734
255	596	1733
256	598	1731
257	600	1728
258	603	1725
259	604	1721
260	607	1719
261	610	1718
262	612	1715
263	614	1712
264	616	1709
265	618	1705
266	620	1702
267	622	1699
268	624	1698
269	626	1695
270	628	1691
271	630	1688
272	632	1685
273	634	1681
274	636	1678
275	639	1676
276	641	1675
277	643	1672
278	646	1669
279	647	1666
280	649	1662
281	651	1659
282	653	1656
283	655	1653
284	658	1651
285	660	1649
286	662	1646
287	664	1643
288	666	1640
289	668	1637
290	671	1635
291	673	1632
292	675	1629
293	677	1626
294	679	1623
295	681	1620
296	683	1617
297	686	1616
298	688	1614
299	690	1612
300	692	1608
301	694	1605
302	696	1602
303	698	1599
304	700	1596
305	702	1593
306	705	1592
307	707	1589
308	709	1586
309	711	1583
310	713	1580
311	719	1585
312	721	1584
313	724	1582
314	726	1579
315	728	1576
316	730	1573
317	732	1570
318	735	1570
319	737	1567
320	739	1564
321	741	1561
322	743	1559
323	745	1556
324	747	1553
325	751	1553
326	753	1550
327	755	1548
328	757	1545
329	759	1542
330	761	1540
331	764	1538
332	770	1543
333	773	1542
334	775	1540
335	777	1536
336	780	1534
337	783	1534
338	786	1533
339	789	1533
340	792	1531
341	795	1530
342	798	1529
343	802	1529
344	805	1528
345	808	1527
346	810	1525
347	813	1523
348	816	1522
349	818	1520
350	820	1516
351	822	1513
352	824	1510
353	825	1507
354	827	1504
355	830	1501
356	832	1499
357	834	1496
358	836	1494
359	839	1491
360	840	1488
361	842	1485
362	845	1483
363	847	1480
364	849	1477
365	851	1474
366	853	1471
367	855	1469
368	857	1466
369	859	1463
370	861	1461
371	864	1458
372	866	1455
373	867	1452
374	870	1450
375	872	1447
376	874	1444
377	877	1443
378	879	1440
379	881	1438
380	883	1435
381	885	1432
382	887	1429
383	889	1427
384	891	1424
385	894	1422
386	896	1420
387	898	1417
388	900	1414
389	902	1411
390	904	1408
391	906	1406
392	909	1405
393	912	1403
394	914	1401
395	916	1398
396	919	1396
397	921	1393
398	923	1391
399	926	1389
400	928	1386
401	930	1383
402	932	1380
403	934	1378
404	936	1376
405	938	1373
406	940	1370
407	942	1368
408	945	1365
409	947	1363
410	949	1361
411	951	1358
412	953	1355
413	956	1353
414	958	1351
415	960	1348
416	963	1346
417	965	1344
418	968	1342
419	970	1340
420	973	1339
421	975	1336
422	978	1334
423	982	1334
424	984	1332
425	987	1330
426	990	1328
427	992	1325
428	993	1322
429	995	1319
430	997	1316
431	999	1314
432	1001	1311
